Paper Title,Year,Author,Publication,Url of paper
Axis learning for orientated objects detection in aerial images,2020,Z Xiao,mdpi.com,https://www.mdpi.com/2072-4292/12/6/908
Point-based estimator for arbitrary-oriented object detection in aerial images,2020,K Fu,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9194345/
GSDet: Object detection in aerial images based on scale reasoning,2021,W Li,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9411691/
Redet: A rotation-equivariant detector for aerial object detection,2021,J Han,openaccess.thecvf.com,http://openaccess.thecvf.com/content/CVPR2021/html/Han_ReDet_A_Rotation-Equivariant_Detector_for_Aerial_Object_Detection_CVPR_2021_paper.html
Adaptive anchor for fast object detection in aerial image,2019,R Jin,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8824218/
Object detection in aerial images using feature fusion deep networks,2019,H Long,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8661761/
Dot distance for tiny object detection in aerial images,2021,C Xu,openaccess.thecvf.com,http://openaccess.thecvf.com/content/CVPR2021W/EarthVision/html/Xu_Dot_Distance_for_Tiny_Object_Detection_in_Aerial_Images_CVPRW_2021_paper.html
Deep learning based multi-category object detection in aerial images,2017,LW Sommer,spiedigitallibrary.org,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/10202/1020209/Deep-learning-based-multi-category-object-detection-in-aerial-images/10.1117/12.2262083.short
Learning calibrated-guidance for object detection in aerial images,2022,Z Wei,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9735375/
Anchor retouching via model interaction for robust object detection in aerial images,2021,D Liang,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9654160/
Axis learning for orientated objects detection in aerial images,2020,Z Xiao,mdpi.com,https://www.mdpi.com/2072-4292/12/6/908
Point-based estimator for arbitrary-oriented object detection in aerial images,2020,K Fu,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9194345/
GSDet: Object detection in aerial images based on scale reasoning,2021,W Li,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9411691/
Redet: A rotation-equivariant detector for aerial object detection,2021,J Han,openaccess.thecvf.com,http://openaccess.thecvf.com/content/CVPR2021/html/Han_ReDet_A_Rotation-Equivariant_Detector_for_Aerial_Object_Detection_CVPR_2021_paper.html
Adaptive anchor for fast object detection in aerial image,2019,R Jin,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8824218/
Object detection in aerial images using feature fusion deep networks,2019,H Long,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8661761/
Dot distance for tiny object detection in aerial images,2021,C Xu,openaccess.thecvf.com,http://openaccess.thecvf.com/content/CVPR2021W/EarthVision/html/Xu_Dot_Distance_for_Tiny_Object_Detection_in_Aerial_Images_CVPRW_2021_paper.html
Deep learning based multi-category object detection in aerial images,2017,LW Sommer,spiedigitallibrary.org,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/10202/1020209/Deep-learning-based-multi-category-object-detection-in-aerial-images/10.1117/12.2262083.short
Learning calibrated-guidance for object detection in aerial images,2022,Z Wei,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9735375/
Anchor retouching via model interaction for robust object detection in aerial images,2021,D Liang,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9654160/
Axis learning for orientated objects detection in aerial images,2020,Z Xiao,mdpi.com,https://www.mdpi.com/2072-4292/12/6/908
